,Function,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local Memory,Remote Memory,Remote Cache,Store Bound,Core Bound,CPU Time %,config
0,ImagingResampleVertical_8bpc,614.306,178040089600000.0,433715200000.0,0.0,1951718400000.0,0.0,433715200000.0,1951718400000.0,0.0,0.0,0.0,216857600000.0,37733222400000.0,3.390447343715592,4
1,ImagingResampleHorizontal_8bpc,385.98,104078304000000.0,492096000000.0,0.0,861168000000.0,0.0,246048000000.0,1107216000000.0,0.0,0.0,0.0,0.0,17592432000000.0,2.1302817581585467,4
2,at::native::copy_kernel(float),358.99,6974640000000.0,1679080000000.0,645800000000.0,10978600000000.0,12916000000000.0,12657680000000.0,102165560000000.0,129160000000000.0,1679080000000.0,516640000000.0,115469040000000.0,7103800000000.0,1.9813198827953176,4
3,decode_mcu,357.255,33900390400000.0,6625203200000.0,35104972799999.996,14713113600000.002,172083200000.0,86041600000.0,6797286400000.0,0.0,0.0,0.0,86041600000.0,6194995200000.0,1.9717441564612974,4
4,THFloatStorage_copy,319.535,36302832000000.0,4116816000000.0,3742560000000.0,0.0,4491072000000.0,1871280000000.0,45808934400000.0,64446883199999.99,74851200000000.0,43263993600000.0,2245536000000.0,16691817600000.0,1.763561794894013,4
5,jpeg_idct_islow,318.305,51924566400000.0,2172576000000.0,4779667200000.0,1448384000000.0,0.0,72419200000.0,5141763200000.0,0.0,0.0,0.0,144838400000.0,12745779200000.002,1.7567732396255147,4
6,at::native::div_true_kernel,293.66,12178020800000.0,402579200000.0,100644800000.0,18116064000000.0,10366414400000.0,7246425600000.0,78201009600000.0,91184188800000.0,905803200000.0,0.0,15499299200000.0,32910849600000.004,1.620753772477431,4
7,at::native::copy_kernel(unsigned char),200.455,66287275199999.99,509342399999.99994,0.0,1018684799999.9999,1164211200000.0,291052800000.0,22120012800000.0,0.0,0.0,0.0,72763200000.0,1528027200000.0,1.1063413384933714,4
8,at::native::mul_kernel,163.845,4325980800000.0,818428800000.0,701510400000.0,7599696000000.0,7015104000000.0,6781267200000.0,43902859200000.0,58459200000000.0,701510400000.0,0.0,48228840000000.0,3916766400000.0,0.9042852341196099,4
9,at::native::index_kernel,162.73,4026619200000.0,291784000000.0,291784000000.0,8520092800000.0,8870233600000.0,9512158400000.0,46802153600000.0,58356800000000.0,700281600000.0,0.0,52112622400000.0,4260046400000.0,0.8981313811729629,4
10,at::native::copy_kernel,147.125,26639148800000.0,1751897600000.0,0.0,1133580800000.0,824422400000.0,515264000000.0,28545625600000.0,0.0,0.0,0.0,7368275200000.0,8707961599999.999,0.81200503567303,4
11,at::native::fill_kernel,135.56,2728339200000.0,670118400000.0,478656000000.0,6557587200000.0,0.0,0.0,4978022400000.0,0.0,0.0,0.0,44515008000000.0,18476121600000.0,0.7481760586972708,4
12,__memmove_avx_unaligned_erms,102.825,3982169600000.0,5467046400000.0,776185600000.0,9314227200000.0,2733523200000.0,6749440000000.0,17244819200000.0,708691200000.0,0.0,0.0,18932179200000.0,1552371200000.0,0.5675066629945917,4
13,ycc_rgb_convert,96.12,16720972800000.0,62860800000.0,272396800000.0,0.0,83814400000.0,0.0,1320076800000.0,0.0,0.0,0.0,20953600000.0,3813555200000.0,0.5305007580553384,4
14,jpeg_fill_bit_buffer,71.44,4338982400000.0,2431180800000.0,8542899200000.0,1401305600000.0,0.0,33766400000.0,1249356800000.0,0.0,0.0,0.0,0.0,1181824000000.0,0.39428812063538665,4
15,_int_free,65.655,6192907200000.0,10343708800000.0,776888000000.0,2508238400000.0,0.0,2574828800000.0,3995424000000.0,13096112000000.0,621510400000.0,0.0,22196800000.0,1598169600000.0,0.3623598342709451,4
16,at::native::add_kernel,65.175,5051654400000.0,659900800000.0,0.0,341328000000.0,1297046400000.0,5461248000000.0,20661721600000.0,22755200000000.0,0.0,0.0,1934192000000.0,6098393600000.0,0.35971064197104324,4
17,ImagingPackRGB,52.765,15829286400000.0,306489600000.0,522835200000.0,432691200000.0,162259200000.0,90144000000.0,6364166399999.999,0.0,0.0,0.0,432691200000.0,306489600000.0,0.29121798271733174,4
18,__GI___libc_malloc,49.585,4124912000000.0,9065024000000.0,635856000000.0,3896656000000.0,0.0,2249952000000.0,1809744000000.0,277168000000.0,0.0,0.0,2364080000000.0,293472000000.0,0.2736670837304822,4
19,ImagingFlipLeftRight,33.475,9715648000000.0,117056000000.0,0.0,397990400000.0,23411200000.0,175584000000.0,6145440000000.0,1826073600000.0,0.0,0.0,292640000000.0,608691200000.0,0.18475356716502758,4
20,decompress_onepass,31.815,3264288000000.0,308784000000.0,2462920000000.0,257320000000.0,36760000000.0,22056000000.0,294080000000.0,0.0,0.0,0.0,0.0,1080744000000.0,0.17559177712786714,4
21,ImagingUnpackRGB,24.525,5413881600000.0,327945600000.0,0.0,0.0,0.0,0.0,294595200000.0,0.0,0.0,0.0,22233600000.0,250128000000.0,0.13535716907310832,4
22,_PyObject_GetMethod,18.6,713280000000.0,1464601600000.0,1122227200000.0,137900800000.0,0.0,998592000000.0,1464601600000.0,984326400000.0,0.0,0.0,233004800000.00003,285312000000.0,0.10265620162119532,4
23,__memset_avx2_unaligned_erms,17.37,1380288000000.0,3296764800000.0,583968000000.0,79632000000.0,0.0,0.0,493718400000.00006,0.0,0.0,0.0,180499200000.0,26544000000.0,0.09586764635269691,4
24,xas_load,15.01,1738176000000.0,1023153600000.0,375288000000.0,513552000000.0,39504000000.0,39504000000.0,39504000000.0,509601600000.0,0.0,0.0,19752000000.0,414792000000.0,0.08284245087817965,4
